"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"48","/book/show/4381.Fahrenheit_451","Fahrenheit 451","Ray Bradbury","Fahrenheit 451: la temperatura a la que el papel se enciende y arde. Guy Montag es un bombero y el trabajo de un bombero es quemar libros, que están prohibidos porque son causa de discordia y sufrimiento.El Sabueso Mecánico del Departamento de Incendios, armado con una letal inyección hipodérmica, escoltado por helicópteros, está preparado para rastrear a los disidentes qu
  Fahrenheit 451: la temperatura a la que el papel se enciende y arde. Guy Montag es un bombero y el trabajo de un bombero es quemar libros, que están prohibidos porque son causa de discordia y sufrimiento.El Sabueso Mecánico del Departamento de Incendios, armado con una letal inyección hipodérmica, escoltado por helicópteros, está preparado para rastrear a los disidentes que aún conservan y leen libros. Como 1984, de George Orwell, como Un mundo feliz, de Aldous Huxley, Fahrenheit 451 describe una civilización occidental esclavizada por los medios, los tranquilizantes y el conformismo.La visión de Bradbury es asombrosamente profética: pantallas de televisión que ocupan paredes y exhiben folletines interactivos; avenidas donde los coches corren a 150 kilómetros por hora persiguiendo a peatones; una población que no escucha otra cosa que una insípida corriente de música y noticias transmitidas por unos diminutos auriculares insertados en las orejas.«Fahrenheit 451 es el más convincente de todos los infiernos conformistas.» KINGSLEY AMIS
  ...more","/genres/classics;/genres/fiction;/genres/science-fiction;/genres/dystopia","14,802 users;9,006 users;7,994 users;4,272 users"
"49","/book/show/43641.Water_for_Elephants","Water for Elephants","Sara Gruen","Orphaned, penniless, Jacob Jankowski jumps a freight train in the dark, and in that instant, transforms his future.By morning, he's landed a job with the Flying Squadron of the Benzini Brothers Most Spectacular Show on Earth. By nightfall, he's in love.In an America made colourless by prohibition and the Depression, the circus is a refuge of sequins and sensuality. But beh
  Orphaned, penniless, Jacob Jankowski jumps a freight train in the dark, and in that instant, transforms his future.By morning, he's landed a job with the Flying Squadron of the Benzini Brothers Most Spectacular Show on Earth. By nightfall, he's in love.In an America made colourless by prohibition and the Depression, the circus is a refuge of sequins and sensuality. But behind the glamour lies a darker world, where both animals and men are dispensable. Where falling in love is the most dangerous act of all...
  ...more","/genres/fiction;/genres/historical-fiction;/genres/romance;/genres/book-club","1,745 users;1,312 users;638 users;574 users"
"50","/book/show/4214.Life_of_Pi","Life of Pi","Yann Martel","Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.","/genres/fantasy;/genres/adventure;/genres/classics;/genres/contemporary;/genres/literature;/genres/novels","1,903 users;1,282 users;1,153 users;1,021 users;776 users;752 users"
"51","/book/show/1953.A_Tale_of_Two_Cities","A Tale of Two Cities","Charles Dickens;Richard Maxwell;Hablot Knight Browne","'Liberty, equality, fraternity, or death; -- the last, much the easiest to bestow, O Guillotine!' After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but
  
  'Liberty, equality, fraternity, or death; -- the last, much the easiest to bestow, O Guillotine!'
After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine.This edition uses the text as it appeared in its serial publication in 1859 to convey the full scope of Dickens's vision, and includes the original illustrations by H. K. Browne ('Phiz'). Richard Maxwell's introduction discusses the intricate interweaving of epic drama with personal tragedy.
  ...more","/genres/classics;/genres/fiction;/genres/historical-fiction;/genres/literature","15,420 users;5,154 users;2,412 users;1,147 users"
"52","/book/show/1381.The_Odyssey","The Odyssey","Homer;Robert Fagles;Bernard Knox","Literature's grandest evocation of life's journey, at once an ageless human story and an individual test of moral endurance, Homer's ancient Greek epic The Odyssey is translated by Robert Fagles with an introduction and notes by Bernard Knox in Penguin Classics.When Robert Fagles' translation of The Iliad was published in 1990, critics and scholars alike hailed it as a mas
  Literature's grandest evocation of life's journey, at once an ageless human story and an individual test of moral endurance, Homer's ancient Greek epic The Odyssey is translated by Robert Fagles with an introduction and notes by Bernard Knox in Penguin Classics.When Robert Fagles' translation of The Iliad was published in 1990, critics and scholars alike hailed it as a masterpiece. Here, one of the great modern translators presents us with The Odyssey, Homer's best-loved poem, recounting Odysseus' wanderings after the Trojan War. With wit and wile, the 'man of twists and turns' meets the challenges of the sea-god Poseidon, and monsters ranging from the many-headed Scylla to the cannibalistic Cyclops Polyphemus - only to return after twenty years to a home besieged by his wife Penelope's suitors. In the myths and legends retold in this immortal poem, Fagles has captured the energy of Homer's original in a bold, contemporary idiom.Seven greek cities claim the honour of being the birthplace of Homer (c. 8th-7th century BC), the poet to whom the composition of the Iliad and Odyssey are attributed. The Iliad is the oldest surviving work of Western literature, but the identity - or even the existence - of Homer himself is a complete mystery, with no reliable biographical information having survived.If you enjoyed The Odyssey, you might like Robert Fagles' translation of The Iliad, also available in Penguin Classics.'Wonderfully readable ... Just the right blend of roughness and sophistication'Ted Hughes'A memorable achievement ... Mr Fagles has been remarkably successful in finding a style that is of our time and yet timeless'Richard Jenkyns, The New York Times Book Review'His translation of The Odyssey is his best work yet'Garry Wills, New Yorker
  ...more","/genres/classics;/genres/fiction;/genres/poetry;/genres/mythology;/genres/school;/genres/fantasy;/genres/literature;/genres/adventure;/genres/read-for-school;/genres/epic","13,696 users;3,522 users;3,276 users;1,795 users;1,250 users;1,201 users;1,154 users;654 users;565 users;460 users"
"53","/book/show/13496.A_Game_of_Thrones","A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin","Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must … and a dead enemy is a thing of beauty.The old gods have no power in the
  Summers span decades. Winter can last a lifetime. And the struggle for the Iron Throne has begun.As Warden of the north, Lord Eddard Stark counts it a curse when King Robert bestows on him the office of the Hand. His honour weighs him down at court where a true man does what he will, not what he must … and a dead enemy is a thing of beauty.The old gods have no power in the south, Stark’s family is split and there is treachery at court. Worse, the vengeance-mad heir of the deposed Dragon King has grown to maturity in exile in the Free Cities. He claims the Iron Throne.
  ...more","/genres/fiction;/genres/epic-fantasy;/genres/science-fiction-fantasy;/genres/adult;/genres/adventure;/genres/high-fantasy","7,434 users;1,538 users;1,309 users;1,196 users;1,084 users;1,077 users"
"54","/book/show/28187.The_Lightning_Thief","The Lightning Thief (Percy Jackson and the Olympians, #1)","Rick Riordan","Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse—Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one
  Percy Jackson is a good kid, but he can't seem to focus on his schoolwork or control his temper. And lately, being away at boarding school is only getting worse—Percy could have sworn his pre-algebra teacher turned into a monster and tried to kill him. When Percy's mom finds out, she knows it's time that he knew the truth about where he came from, and that he go to the one place he'll be safe. She sends Percy to Camp Half Blood, a summer camp for demigods (on Long Island), where he learns that the father he never knew is Poseidon, God of the Sea. Soon a mystery unfolds and together with his friends—one a satyr and the other the demigod daughter of Athena—Percy sets out on a quest across the United States to reach the gates of the Underworld (located in a recording studio in Hollywood) and prevent a catastrophic war between the gods.
  ...more","/genres/fantasy;/genres/young-adult;/genres/mythology;/genres/fiction","15,657 users;7,669 users;4,047 users;2,923 users"
"55","/book/show/231804.The_Outsiders","The Outsiders","S.E. Hinton","According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble ag
  According to Ponyboy, there are two kinds of people in the world: greasers and socs. A soc (short for ""social"") has money, can get away with just about anything, and has an attitude longer than a limousine. A greaser, on the other hand, always lives on the outside and needs to watch his back. Ponyboy is a greaser, and he's always been proud of it, even willing to rumble against a gang of socs for the sake of his fellow greasers--until one terrible night when his friend Johnny kills a soc. The murder gets under Ponyboy's skin, causing his bifurcated world to crumble and teaching him that pain feels the same whether a soc or a greaser.
  ...more","/genres/fiction;/genres/young-adult;/genres/classics;/genres/school;/genres/realistic-fiction","3,462 users;2,071 users;1,622 users;1,257 users;708 users"
"56","/book/show/7604.Lolita","Lolita","Vladimir Nabokov;Craig Raine","Alternate Cover Edition for ISBN 0141182539; ISBN13: 9780141182537Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo
  Alternate Cover Edition for ISBN 0141182539; ISBN13: 9780141182537Humbert Humbert - scholar, aesthete and romantic - has fallen completely and utterly in love with Lolita Haze, his landlady's gum-snapping, silky skinned twelve-year-old daughter. Reluctantly agreeing to marry Mrs Haze just to be close to Lolita, Humbert suffers greatly in the pursuit of romance; but when Lo herself starts looking for attention elsewhere, he will carry her off on a desperate cross-country misadventure, all in the name of Love. Hilarious, flamboyant, heart-breaking and full of ingenious word play, Lolita is an immaculate, unforgettable masterpiece of obsession, delusion and lust.
  ...more","/genres/literature;/genres/classics;/genres/fiction;/genres/novels;/genres/russian-literature;/genres/20th-century","1,107 users;819 users;783 users;641 users;423 users;332 users"
"57","/book/show/4981.Slaughterhouse_Five","Slaughterhouse-Five","Kurt Vonnegut","Kurt Vonnegut's absurdist classic Slaughterhouse-Five introduces us to Billy Pilgrim, a man who becomes unstuck in time after he is abducted by aliens from the planet Tralfamadore. In a plot-scrambling display of virtuosity, we follow Pilgrim simultaneously through all phases of his life, concentrating on his (and Vonnegut's) shattering experience as an American prisoner o
  Kurt Vonnegut's absurdist classic Slaughterhouse-Five introduces us to Billy Pilgrim, a man who becomes unstuck in time after he is abducted by aliens from the planet Tralfamadore. In a plot-scrambling display of virtuosity, we follow Pilgrim simultaneously through all phases of his life, concentrating on his (and Vonnegut's) shattering experience as an American prisoner of war who witnesses the firebombing of Dresden.Don't let the ease of reading fool you - Vonnegut's isn't a conventional, or simple, novel. He writes, ""There are almost no characters in this story, and almost no dramatic confrontations, because most of the people in it are so sick, and so much the listless playthings of enormous forces. One of the main effects of war, after all, is that people are discouraged from being characters.""Slaughterhouse-Five is not only Vonnegut's most powerful book, it is also as important as any written since 1945. Like Catch- 22, it fashions the author's experiences in the Second World War into an eloquent and deeply funny plea against butchery in the service of authority. Slaughterhouse-Five boasts the same imagination, humanity, and gleeful appreciation of the absurd found in Vonnegut's other works, but the book's basis in rock-hard, tragic fact gives it a unique poignancy - and humor.
  ...more","/genres/fiction;/genres/classics;/genres/science-fiction;/genres/war","8,782 users;7,188 users;3,826 users;1,330 users"
"58","/book/show/168668.Catch_22","Catch-22","Joseph Heller","At the heart of Catch-22 resides the incomparable, malingering bombardier, Yossarian, a hero endlessly inventive in his schemes to save his skin from the horrible chances of war.His problem is Colonel Cathcart, who keeps raising the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempts to excuse himself from the perilous mission
  At the heart of Catch-22 resides the incomparable, malingering bombardier, Yossarian, a hero endlessly inventive in his schemes to save his skin from the horrible chances of war.His problem is Colonel Cathcart, who keeps raising the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempts to excuse himself from the perilous missions that he's committed to flying, he's trapped by the Great Loyalty Oath Crusade, the bureaucratic rule from which the book takes its title: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes the necessary formal request to be relieved of such missions, the very act of making the request proves that he's sane and therefore, ineligible to be relieved.
  ...more","/genres/classics;/genres/fiction;/genres/war;/genres/humor;/genres/literature","8,169 users;7,135 users;1,281 users;1,055 users;1,016 users"
"59","/book/show/234225.Dune","Dune","Frank Herbert","This book was mistakenly published under ISBN13: 9780965017763.Set in the far future amidst a sprawling feudal interstellar empire where planetary dynasties are controlled by noble houses that owe an allegiance to the imperial House Corrino, Dune tells the story of young Paul Atreides (the heir apparent to Duke Leto Atreides and heir of House Atreides) as he and his family
  This book was mistakenly published under ISBN13: 9780965017763.Set in the far future amidst a sprawling feudal interstellar empire where planetary dynasties are controlled by noble houses that owe an allegiance to the imperial House Corrino, Dune tells the story of young Paul Atreides (the heir apparent to Duke Leto Atreides and heir of House Atreides) as he and his family accept control of the desert planet Arrakis, the only source of the 'spice' melange, the most important and valuable substance in the cosmos. The story explores the complex, multi-layered interactions of politics, religion, ecology, technology, and human emotion as the forces of the empire confront each other for control of Arrakis.Published in 1965, it won the Hugo Award in 1966 and the inaugural Nebula Award for Best Novel. Dune is frequently cited as the world's best-selling sf novel.
  ...more","/genres/science-fiction;/genres/fiction;/genres/fantasy;/genres/classics","9,373 users;4,102 users;2,646 users;1,878 users"
"60","/book/show/5043.The_Pillars_of_the_Earth","The Pillars of the Earth (The Pillars of the Earth, #1)","Ken Follett","For the Movie tie-in edition with the same ISBNgo to this Alternate Cover Edition Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known. Everything readers expect
  For the Movie tie-in edition with the same ISBNgo to this Alternate Cover Edition
  Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.
Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.""At once a sensuous and endearing love story and an epic that shines with the fierce spirit of a passionate age, The Pillars of the Earth is without a doubt Ken Follett's masterpiece.""
  ...more","/genres/historical-fiction;/genres/fiction;/genres/historical","7,319 users;3,999 users;1,422 users"
"61","/book/show/18490.Frankenstein","Frankenstein","Mary Wollstonecraft Shelley;Maurice Hindle;Percy Bysshe Shelley","Mary Shelley began writing Frankenstein when she was only eighteen. At once a Gothic thriller, a passionate romance, and a cautionary tale about the dangers of science, Frankenstein tells the story of committed science student Victor Frankenstein. Obsessed with discovering the cause of generation and life and bestowing animation upon lifeless matter, Frankenstein assembles
  Mary Shelley began writing Frankenstein when she was only eighteen. At once a Gothic thriller, a passionate romance, and a cautionary tale about the dangers of science, Frankenstein tells the story of committed science student Victor Frankenstein. Obsessed with discovering the cause of generation and life and bestowing animation upon lifeless matter, Frankenstein assembles a human being from stolen body parts but; upon bringing it to life, he recoils in horror at the creature's hideousness. Tormented by isolation and loneliness, the once-innocent creature turns to evil and unleashes a campaign of murderous revenge against his creator, Frankenstein.Frankenstein, an instant bestseller and an important ancestor of both the horror and science fiction genres, not only tells a terrifying story, but also raises profound, disturbing questions about the very nature of life and the place of humankind within the cosmos: What does it mean to be human? What responsibilities do we have to each other? How far can we go in tampering with Nature? In our age, filled with news of organ donation genetic engineering, and bio-terrorism, these questions are more relevant than ever.
  ...more","/genres/horror;/genres/classics;/genres/science-fiction;/genres/gothic;/genres/fantasy;/genres/literature;/genres/school","6,137 users;3,271 users;3,198 users;1,583 users;1,544 users;1,327 users;1,193 users"
"62","/book/show/149267.The_Stand","The Stand","Stephen King;Bernie Wrightson","This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death.And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides or are
  This is the way the world ends: with a nanosecond of computer error in a Defense Department laboratory and a million casual contacts that form the links in a chain letter of death.And here is the bleak new world of the day after: a world stripped of its institutions and emptied of 99 percent of its people. A world in which a handful of panicky survivors choose sides or are chosen. A world in which good rides on the frail shoulders of the 108-year-old Mother Abigail and the worst nightmares of evil are embodied in a man with a lethal smile and unspeakable powers: Randall Flagg, the dark man.
  ...more","/genres/horror;/genres/fiction;/genres/fantasy;/genres/science-fiction;/genres/post-apocalyptic","6,273 users;3,632 users;1,634 users;1,047 users;859 users"
"63","/book/show/76620.Watership_Down","Watership Down (Watership Down #1)","Richard Adams","Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predato
  Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.
  ...more","/genres/classics;/genres/fiction;/genres/fantasy;/genres/young-adult;/genres/animals","4,344 users;3,849 users;3,617 users;1,017 users;857 users"
"64","/book/show/77203.The_Kite_Runner","The Kite Runner","Khaled Hosseini","“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime."" Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amid
   “It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime."" Amir is the son of a wealthy Kabul merchant, a member of the ruling caste of Pashtuns. Hassan, his servant and constant companion, is a Hazara, a despised and impoverished caste. Their uncommon bond is torn by Amir's choice to abandon his friend amidst the increasing ethnic, religious, and political tensions of the dying years of the Afghan monarchy, wrenching them far apart. But so strong is the bond between the two boys that Amir journeys back to a distant world, to try to right past wrongs against the only true friend he ever had.The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.
  ...more","/genres/fiction;/genres/historical-fiction;/genres/contemporary;/genres/classics;/genres/novels;/genres/literature;/genres/adult;/genres/adult-fiction;/genres/historical;/genres/drama","11,311 users;3,596 users;1,219 users;908 users;894 users;756 users;732 users;691 users;635 users;610 users"
"65","/book/show/3590.The_Adventures_of_Sherlock_Holmes","The Adventures of Sherlock Holmes (Sherlock Holmes, #3)","Arthur Conan Doyle","Complete in nine handsome volumes, each with an introduction by a Doyle scholar, a chronology, a selected bibliography, and explanatory notes, the Oxford Sherlock Holmes series offers a definitive collection of the famous detective's adventures. No home library is complete without it.Comprising the series of short stories that made the fortunes of the Strand, the magazine
  Complete in nine handsome volumes, each with an introduction by a Doyle scholar, a chronology, a selected bibliography, and explanatory notes, the Oxford Sherlock Holmes series offers a definitive collection of the famous detective's adventures. No home library is complete without it.Comprising the series of short stories that made the fortunes of the Strand, the magazine in which they were first published, this volume won even more popularity for Sherlock Holmes and Dr. Watson. Holmes is at the height of his powers in many of his most famous cases, including The Red-Headed League, The Speckled Band, and The Blue Carbuncle.
  ...more","/genres/classics;/genres/mystery;/genres/fiction;/genres/short-stories;/genres/crime;/genres/detective;/genres/literature;/genres/adventure;/genres/historical-fiction;/genres/british-literature","4,675 users;3,441 users;2,060 users;927 users;801 users;374 users;270 users;222 users;190 users;188 users"
"66","/book/show/10917.My_Sister_s_Keeper","My Sister's Keeper","Jodi Picoult","Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate -- a life and a role that she has never challenge
  Anna is not sick, but she might as well be. By age thirteen, she has undergone countless surgeries, transfusions, and shots so that her older sister, Kate, can somehow fight the leukemia that has plagued her since childhood. The product of preimplantation genetic diagnosis, Anna was conceived as a bone marrow match for Kate -- a life and a role that she has never challenged... until now. Like most teenagers, Anna is beginning to question who she truly is. But unlike most teenagers, she has always been defined in terms of her sister—and so Anna makes a decision that for most would be unthinkable, a decision that will tear her family apart and have perhaps fatal consequences for the sister she loves.A provocative novel that raises some important ethical issues, My Sister's Keeper is the story of one family's struggle for survival at all human costs and a stunning parable for all time.
  ...more","/genres/fiction;/genres/contemporary;/genres/chick-lit","4,624 users;903 users;884 users"
"67","/book/show/3636.The_Giver","The Giver (The Giver, #1)","Lois Lowry","This haunting story centers on Jonas, who lives in a seemingly ideal, if colorless, world of conformity and contentment. Not until he's given his life assignment as the Receiver of Memory does he begin to understand the dark, complex secrets behind his fragile community.","/genres/childrens;/genres/teen;/genres/read-for-school;/genres/middle-grade;/genres/fiction;/genres/science-fiction-fantasy","802 users;475 users;448 users;415 users;351 users;285 users"
"68","/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest","One Flew Over the Cuckoo's Nest","Ken Kesey","""In this classic of the 1960s, Ken Kesey's hero is Randle Patrick McMurphy, a boisterous, brawling, fun-loving rebel who swaggers into the world of a mental hospital and takes over. A lusty, life-affirming fighter, McMurphy rallies the other patients around him by challenging the dictatorship of Nurse Ratched. He promotes gambling in the ward, smuggles in wine and women, a
  ""In this classic of the 1960s, Ken Kesey's hero is Randle Patrick McMurphy, a boisterous, brawling, fun-loving rebel who swaggers into the world of a mental hospital and takes over. A lusty, life-affirming fighter, McMurphy rallies the other patients around him by challenging the dictatorship of Nurse Ratched. He promotes gambling in the ward, smuggles in wine and women, and openly defies the rules at every turn. But this defiance, which starts as a sport, soon develops into a grim struggle, an all-out war between two relentless opponents: Nurse Ratched, back by the full power of authority, and McMurphy, who has only his own indomitable will. What happens when Nurse Ratched uses her ultimate weapon against McMurphy provides the story's shocking climax.
  ...more","/genres/classics;/genres/fiction;/genres/literature;/genres/psychology","6,255 users;5,028 users;652 users;613 users"
"69","/book/show/6514.The_Bell_Jar","The Bell Jar","Sylvia Plath","Sylvia Plath's shocking, realistic, and intensely emotional novel about a woman falling into the grip of insanity. Esther Greenwood is brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. In her acclaimed and enduring masterwork, Sylvia Plath brilliantly draws the reader into Esther's breakdown with such intensity that
  Sylvia Plath's shocking, realistic, and intensely emotional novel about a woman falling into the grip of insanity. Esther Greenwood is brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. In her acclaimed and enduring masterwork, Sylvia Plath brilliantly draws the reader into Esther's breakdown with such intensity that her insanity becomes palpably real, even rational—as accessible an experience as going to the movies. A deep penetration into the darkest and most harrowing corners of the human psyche, The Bell Jar is an extraordinary accomplishment and a haunting American classic.
  ...more","/genres/classics;/genres/fiction;/genres/literary-fiction;/genres/contemporary;/genres/feminism","998 users;568 users;279 users;260 users;233 users"
"70","/book/show/38447.The_Handmaid_s_Tale","The Handmaid's Tale","Margaret Atwood","Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Ha
  Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke; when she played with and protected her daughter; when she had a job, money of her own, and access to knowledge. But all of that is gone now...
  ...more","/genres/fiction;/genres/classics;/genres/dystopia;/genres/science-fiction;/genres/feminism","8,148 users;4,669 users;3,599 users;2,223 users;1,751 users"
"71","/book/show/10964.Outlander","Outlander (Outlander #1)","Diana Gabaldon","The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743.Hurled back in ti
  The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743.Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.
  ...more","/genres/historical-fiction;/genres/romance;/genres/fantasy;/genres/fiction;/genres/time-travel;/genres/historical;/genres/historical-romance","8,072 users;5,909 users;4,816 users;3,615 users;2,816 users;2,584 users;1,748 users"
"72","/book/show/15823480-anna-karenina","Anna Karenina","Leo Tolstoy;Louise Maude;Aylmer Maude","Leo Tolstoy’s classic story of doomed love is one of the most admired novels in world literature. Generations of readers have been enthralled by his magnificent heroine, the unhappily married Anna Karenina, and her tragic affair with dashing Count Vronsky.In their world frivolous liaisons are commonplace, but Anna and Vronsky’s consuming passion makes them a target for sco
  Leo Tolstoy’s classic story of doomed love is one of the most admired novels in world literature. Generations of readers have been enthralled by his magnificent heroine, the unhappily married Anna Karenina, and her tragic affair with dashing Count Vronsky.In their world frivolous liaisons are commonplace, but Anna and Vronsky’s consuming passion makes them a target for scorn and leads to Anna’s increasing isolation. The heartbreaking trajectory of their relationship contrasts sharply with the colorful swirl of friends and family members who surround them, especially the newlyweds Kitty and Levin, who forge a touching bond as they struggle to make a life together. Anna Karenina is a masterpiece not only because of the unforgettable woman at its core and the stark drama of her fate, but also because it explores and illuminates the deepest questions about how to live a fulfilled life. Translated by Louise and Aylmer Maude 
  ...more","/genres/classics;/genres/fiction;/genres/russia;/genres/romance;/genres/literature;/genres/historical-fiction;/genres/russian-literature;/genres/novels;/genres/19th-century;/genres/historical","12,977 users;4,808 users;1,293 users;1,124 users;1,067 users;1,048 users;986 users;548 users;433 users;405 users"
